frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.4991,0.2590)","(0.5301,0.2481)","(0.4787,0.2440)","(0.5744,0.2530)","(0.4477,0.2452)","(0.6180,0.3100)","(0.4175,0.3064)","(0.7132,0.3997)","(0.3512,0.4062)","(0.6462,0.3261)","(0.3912,0.3179)","(0.5901,0.5268)","(0.4444,0.5212)","(0.6166,0.6841)","(0.3920,0.6622)","(0.6726,0.8465)","(0.4204,0.7819)"
11,"(0.4998,0.2578)","(0.5309,0.2472)","(0.4789,0.2433)","(0.5737,0.2547)","(0.4459,0.2470)","(0.6227,0.3162)","(0.4154,0.3085)","(0.7153,0.4204)","(0.3512,0.4089)","(0.6496,0.3573)","(0.3883,0.3234)","(0.5878,0.5279)","(0.4398,0.5210)","(0.6141,0.6866)","(0.4063,0.6638)","(0.6662,0.8503)","(0.4326,0.7802)"
12,"(0.4966,0.2596)","(0.5278,0.2489)","(0.4767,0.2451)","(0.5706,0.2574)","(0.4459,0.2496)","(0.6230,0.3262)","(0.4146,0.3174)","(0.7145,0.4344)","(0.3465,0.4125)","(0.6679,0.3829)","(0.3831,0.3270)","(0.5842,0.5293)","(0.4377,0.5234)","(0.6184,0.6868)","(0.4128,0.6690)","(0.6657,0.8488)","(0.4416,0.7836)"
13,"(0.4938,0.2623)","(0.5256,0.2516)","(0.4736,0.2475)","(0.5675,0.2607)","(0.4415,0.2520)","(0.6193,0.3351)","(0.4079,0.3252)","(0.7128,0.4411)","(0.3382,0.4147)","(0.6799,0.3961)","(0.3816,0.3309)","(0.5790,0.5359)","(0.4329,0.5304)","(0.6186,0.6888)","(0.4241,0.6719)","(0.6652,0.8476)","(0.4462,0.7871)"
14,"(0.4900,0.2653)","(0.5221,0.2548)","(0.4691,0.2502)","(0.5620,0.2641)","(0.4340,0.2545)","(0.6154,0.3388)","(0.3958,0.3291)","(0.7112,0.4438)","(0.3310,0.4175)","(0.6816,0.3987)","(0.3861,0.3318)","(0.5816,0.5347)","(0.4309,0.5301)","(0.6187,0.6863)","(0.4239,0.6719)","(0.6644,0.8470)","(0.4495,0.7871)"
15,"(0.4804,0.2689)","(0.5122,0.2583)","(0.4603,0.2545)","(0.5565,0.2684)","(0.4271,0.2604)","(0.6082,0.3427)","(0.3899,0.3350)","(0.7053,0.4453)","(0.3309,0.4224)","(0.6653,0.4006)","(0.3884,0.3451)","(0.5801,0.5383)","(0.4331,0.5343)","(0.6176,0.6839)","(0.4239,0.6730)","(0.6615,0.8507)","(0.4490,0.7802)"
16,"(0.4750,0.2719)","(0.5068,0.2613)","(0.4544,0.2572)","(0.5494,0.2710)","(0.4191,0.2623)","(0.5995,0.3441)","(0.3829,0.3365)","(0.6984,0.4468)","(0.3313,0.4261)","(0.6575,0.4015)","(0.3857,0.3528)","(0.5770,0.5371)","(0.4315,0.5331)","(0.6116,0.6824)","(0.4255,0.6715)","(0.6586,0.8499)","(0.4544,0.7788)"
17,"(0.4729,0.2748)","(0.5034,0.2641)","(0.4516,0.2606)","(0.5451,0.2728)","(0.4160,0.2655)","(0.5987,0.3436)","(0.3815,0.3372)","(0.6905,0.4468)","(0.3299,0.4285)","(0.6500,0.4022)","(0.3841,0.3547)","(0.5758,0.5368)","(0.4298,0.5330)","(0.6091,0.6835)","(0.4260,0.6719)","(0.6593,0.8495)","(0.4553,0.7796)"
18,"(0.4696,0.2774)","(0.5000,0.2669)","(0.4485,0.2630)","(0.5395,0.2749)","(0.4130,0.2668)","(0.5972,0.3438)","(0.3784,0.3369)","(0.6874,0.4460)","(0.3229,0.4278)","(0.6510,0.3994)","(0.3804,0.3481)","(0.5756,0.5378)","(0.4285,0.5347)","(0.6109,0.6858)","(0.4242,0.6761)","(0.6598,0.8431)","(0.4618,0.7895)"
19,"(0.4694,0.2821)","(0.4973,0.2708)","(0.4467,0.2685)","(0.5362,0.2769)","(0.4115,0.2724)","(0.5936,0.3443)","(0.3781,0.3384)","(0.6877,0.4426)","(0.3149,0.4209)","(0.6450,0.3906)","(0.3678,0.3418)","(0.5676,0.5362)","(0.4236,0.5335)","(0.6089,0.6838)","(0.4230,0.6746)","(0.6598,0.8414)","(0.4614,0.7896)"
20,"(0.4682,0.2851)","(0.4945,0.2737)","(0.4455,0.2722)","(0.5320,0.2796)","(0.4118,0.2767)","(0.5876,0.3455)","(0.3787,0.3396)","(0.6867,0.4378)","(0.3083,0.4117)","(0.6485,0.3846)","(0.3620,0.3258)","(0.5638,0.5381)","(0.4238,0.5358)","(0.6104,0.6849)","(0.4230,0.6761)","(0.6605,0.8422)","(0.4635,0.7916)"
