frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.5015,0.2736)","(0.5298,0.2685)","(0.4863,0.2565)","(0.0000,0.0000)","(0.4226,0.2568)","(0.5071,0.3512)","(0.3147,0.3179)","(0.6146,0.4158)","(0.3087,0.3872)","(0.7067,0.3707)","(0.4464,0.3303)","(0.4264,0.5313)","(0.2773,0.5230)","(0.4963,0.6649)","(0.2566,0.6753)","(0.4815,0.8159)","(0.0980,0.8383)"
11,"(0.4957,0.2754)","(0.5226,0.2691)","(0.4798,0.2597)","(0.0000,0.0000)","(0.4237,0.2620)","(0.5247,0.3491)","(0.3154,0.3210)","(0.6653,0.3925)","(0.2763,0.3748)","(0.8271,0.3583)","(0.4316,0.3265)","(0.4334,0.5279)","(0.2770,0.5205)","(0.5022,0.6642)","(0.2504,0.6721)","(0.5013,0.8101)","(0.0951,0.8358)"
12,"(0.4907,0.2784)","(0.5178,0.2713)","(0.4745,0.2626)","(0.0000,0.0000)","(0.4227,0.2635)","(0.5301,0.3452)","(0.3157,0.3227)","(0.6824,0.3795)","(0.2729,0.3739)","(0.8571,0.3565)","(0.4343,0.3280)","(0.4356,0.5279)","(0.2769,0.5226)","(0.5069,0.6603)","(0.2500,0.6731)","(0.5025,0.8085)","(0.0840,0.8358)"
13,"(0.4896,0.2764)","(0.5173,0.2701)","(0.4755,0.2600)","(0.0000,0.0000)","(0.4211,0.2606)","(0.5203,0.3487)","(0.3095,0.3224)","(0.6689,0.3928)","(0.2696,0.3804)","(0.8448,0.3613)","(0.4330,0.3299)","(0.4329,0.5296)","(0.2760,0.5234)","(0.5029,0.6591)","(0.2483,0.6713)","(0.5023,0.8095)","(0.0759,0.8321)"
14,"(0.4893,0.2762)","(0.5170,0.2699)","(0.4752,0.2599)","(0.0000,0.0000)","(0.4202,0.2607)","(0.5203,0.3490)","(0.3090,0.3226)","(0.6690,0.3924)","(0.2695,0.3808)","(0.8411,0.3604)","(0.4320,0.3298)","(0.4344,0.5303)","(0.2769,0.5239)","(0.5055,0.6602)","(0.2489,0.6711)","(0.5012,0.8096)","(0.0762,0.8328)"
15,"(0.4881,0.2742)","(0.5153,0.2678)","(0.4749,0.2570)","(0.0000,0.0000)","(0.4134,0.2556)","(0.5044,0.3472)","(0.3033,0.3187)","(0.6297,0.4073)","(0.2882,0.3933)","(0.7851,0.3604)","(0.4335,0.3327)","(0.4389,0.5325)","(0.2822,0.5251)","(0.4936,0.6668)","(0.2472,0.6744)","(0.4968,0.8148)","(0.0793,0.8286)"
16,"(0.4853,0.2762)","(0.5127,0.2689)","(0.4731,0.2580)","(0.0000,0.0000)","(0.4102,0.2528)","(0.4854,0.3482)","(0.2998,0.3147)","(0.5763,0.4307)","(0.2974,0.3954)","(0.6920,0.3850)","(0.4355,0.3358)","(0.4300,0.5327)","(0.2789,0.5239)","(0.4877,0.6662)","(0.2376,0.6721)","(0.4911,0.8143)","(0.0683,0.8270)"
17,"(0.4852,0.2750)","(0.5082,0.2669)","(0.4717,0.2578)","(0.0000,0.0000)","(0.4048,0.2550)","(0.4704,0.3524)","(0.2897,0.3190)","(0.5398,0.4443)","(0.2961,0.3945)","(0.6524,0.3998)","(0.4476,0.3314)","(0.4168,0.5355)","(0.2667,0.5279)","(0.4882,0.6658)","(0.2247,0.6731)","(0.4935,0.8134)","(0.0542,0.8332)"
18,"(0.4858,0.2887)","(0.0000,0.0000)","(0.4818,0.2724)","(0.0000,0.0000)","(0.4253,0.2605)","(0.4453,0.3488)","(0.2910,0.3190)","(0.4922,0.4543)","(0.3034,0.3931)","(0.6123,0.4166)","(0.4544,0.3289)","(0.3995,0.5404)","(0.2629,0.5359)","(0.4895,0.6662)","(0.2159,0.6811)","(0.4900,0.8153)","(0.0490,0.8376)"
19,"(0.4746,0.2938)","(0.0000,0.0000)","(0.4713,0.2779)","(0.0000,0.0000)","(0.4171,0.2659)","(0.4317,0.3528)","(0.2860,0.3218)","(0.4658,0.4625)","(0.3176,0.3940)","(0.5899,0.4244)","(0.4657,0.3255)","(0.3900,0.5431)","(0.2553,0.5398)","(0.4950,0.6621)","(0.2055,0.6846)","(0.4876,0.8132)","(0.0403,0.8428)"
20,"(0.4707,0.2949)","(0.0000,0.0000)","(0.4596,0.2798)","(0.0000,0.0000)","(0.3926,0.2733)","(0.4129,0.3519)","(0.2713,0.3270)","(0.4101,0.4631)","(0.3410,0.4005)","(0.5619,0.4372)","(0.4556,0.3408)","(0.4031,0.5466)","(0.2607,0.5479)","(0.4896,0.6666)","(0.1894,0.6965)","(0.4979,0.8160)","(0.0422,0.8435)"
