frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.5611,0.3735)","(0.0000,0.0000)","(0.5598,0.3610)","(0.0000,0.0000)","(0.5102,0.3560)","(0.3984,0.4018)","(0.4823,0.4141)","(0.4342,0.4804)","(0.5646,0.4787)","(0.6016,0.4532)","(0.7144,0.4467)","(0.4193,0.5732)","(0.4387,0.5876)","(0.5767,0.6631)","(0.4455,0.7209)","(0.5725,0.7944)","(0.1923,0.8084)"
11,"(0.5636,0.3689)","(0.0000,0.0000)","(0.5606,0.3568)","(0.0000,0.0000)","(0.5087,0.3508)","(0.4192,0.3954)","(0.4647,0.4100)","(0.4345,0.4772)","(0.4899,0.4908)","(0.5938,0.4532)","(0.6191,0.4568)","(0.4372,0.5679)","(0.4326,0.5822)","(0.5791,0.6629)","(0.4318,0.7122)","(0.5683,0.7932)","(0.1853,0.8071)"
12,"(0.5681,0.3613)","(0.0000,0.0000)","(0.5580,0.3491)","(0.0000,0.0000)","(0.5005,0.3458)","(0.4531,0.3914)","(0.4401,0.4049)","(0.4708,0.4701)","(0.4492,0.4852)","(0.5864,0.4392)","(0.5677,0.4397)","(0.4589,0.5612)","(0.4167,0.5756)","(0.5777,0.6647)","(0.4213,0.7118)","(0.5657,0.7943)","(0.1779,0.8064)"
13,"(0.5624,0.3529)","(0.0000,0.0000)","(0.5480,0.3405)","(0.0000,0.0000)","(0.4852,0.3374)","(0.4607,0.3882)","(0.4141,0.3893)","(0.4688,0.4762)","(0.4087,0.4757)","(0.5567,0.4278)","(0.5365,0.4255)","(0.4734,0.5581)","(0.4049,0.5688)","(0.5793,0.6673)","(0.3935,0.7020)","(0.5680,0.7970)","(0.1742,0.8101)"
14,"(0.5485,0.3457)","(0.0000,0.0000)","(0.5400,0.3323)","(0.0000,0.0000)","(0.4853,0.3276)","(0.4702,0.3865)","(0.3728,0.3795)","(0.5182,0.4824)","(0.3852,0.4676)","(0.5498,0.4202)","(0.4952,0.4115)","(0.4790,0.5565)","(0.3792,0.5626)","(0.5646,0.6691)","(0.3731,0.6949)","(0.5668,0.8010)","(0.1749,0.8072)"
15,"(0.5264,0.3418)","(0.0000,0.0000)","(0.5173,0.3282)","(0.0000,0.0000)","(0.4616,0.3222)","(0.4739,0.3853)","(0.3504,0.3784)","(0.5264,0.4757)","(0.3603,0.4594)","(0.5546,0.4174)","(0.4721,0.3942)","(0.4542,0.5572)","(0.3465,0.5615)","(0.5466,0.6667)","(0.3434,0.6909)","(0.5608,0.7970)","(0.1906,0.8063)"
16,"(0.5268,0.3418)","(0.0000,0.0000)","(0.5175,0.3282)","(0.0000,0.0000)","(0.4615,0.3221)","(0.4738,0.3850)","(0.3493,0.3784)","(0.5261,0.4758)","(0.3604,0.4596)","(0.5543,0.4173)","(0.4729,0.3938)","(0.4532,0.5579)","(0.3446,0.5625)","(0.5465,0.6666)","(0.3413,0.6918)","(0.5607,0.7968)","(0.1904,0.8060)"
17,"(0.4995,0.3364)","(0.0000,0.0000)","(0.4910,0.3225)","(0.0000,0.0000)","(0.4417,0.3143)","(0.4586,0.3809)","(0.3212,0.3667)","(0.5157,0.4744)","(0.3372,0.4487)","(0.5471,0.4170)","(0.4559,0.3846)","(0.4588,0.5513)","(0.3392,0.5533)","(0.5365,0.6699)","(0.3145,0.6879)","(0.5756,0.7974)","(0.1861,0.8114)"
18,"(0.4799,0.3323)","(0.0000,0.0000)","(0.4707,0.3180)","(0.0000,0.0000)","(0.4176,0.3118)","(0.4481,0.3832)","(0.2975,0.3658)","(0.5070,0.4747)","(0.3106,0.4445)","(0.5347,0.4131)","(0.4326,0.3781)","(0.4481,0.5578)","(0.3189,0.5588)","(0.5299,0.6741)","(0.2831,0.6900)","(0.5747,0.7984)","(0.1871,0.8161)"
19,"(0.4570,0.3322)","(0.0000,0.0000)","(0.4455,0.3177)","(0.0000,0.0000)","(0.3855,0.3115)","(0.4372,0.3833)","(0.2674,0.3637)","(0.4973,0.4801)","(0.2793,0.4422)","(0.5215,0.4199)","(0.3977,0.3791)","(0.4342,0.5582)","(0.2924,0.5588)","(0.5204,0.6739)","(0.2534,0.6910)","(0.5574,0.8024)","(0.1777,0.8192)"
20,"(0.4239,0.3292)","(0.4424,0.3201)","(0.4052,0.3158)","(0.0000,0.0000)","(0.3506,0.3150)","(0.4341,0.3846)","(0.2522,0.3721)","(0.4823,0.4814)","(0.2497,0.4544)","(0.5094,0.4277)","(0.3585,0.3817)","(0.4330,0.5599)","(0.2831,0.5629)","(0.5079,0.6791)","(0.2401,0.6957)","(0.5524,0.7974)","(0.1722,0.8220)"
21,"(0.4022,0.3276)","(0.4233,0.3190)","(0.3851,0.3133)","(0.0000,0.0000)","(0.3286,0.3113)","(0.4265,0.3853)","(0.2308,0.3721)","(0.4570,0.4822)","(0.2255,0.4608)","(0.4959,0.4327)","(0.3332,0.3900)","(0.4269,0.5584)","(0.2676,0.5615)","(0.4995,0.6785)","(0.2308,0.6954)","(0.5493,0.7942)","(0.1723,0.8222)"
22,"(0.3840,0.3214)","(0.4048,0.3119)","(0.3649,0.3076)","(0.0000,0.0000)","(0.3107,0.3079)","(0.4166,0.3833)","(0.2160,0.3730)","(0.4326,0.4825)","(0.2125,0.4622)","(0.4706,0.4262)","(0.3105,0.3934)","(0.4223,0.5586)","(0.2604,0.5625)","(0.4935,0.6803)","(0.2250,0.6967)","(0.5420,0.7979)","(0.1744,0.8224)"
