frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.5898,0.2669)","(0.6102,0.2557)","(0.5682,0.2526)","(0.0000,0.0000)","(0.5113,0.2561)","(0.6010,0.3455)","(0.4345,0.3174)","(0.6039,0.4454)","(0.4427,0.3457)","(0.6367,0.3614)","(0.5835,0.2696)","(0.5636,0.5524)","(0.4222,0.5440)","(0.6014,0.6966)","(0.3960,0.7014)","(0.6092,0.8737)","(0.2381,0.7987)"
11,"(0.5950,0.2628)","(0.6151,0.2500)","(0.5690,0.2485)","(0.0000,0.0000)","(0.5156,0.2531)","(0.6226,0.3347)","(0.4352,0.3163)","(0.6173,0.4430)","(0.3797,0.3859)","(0.6281,0.3564)","(0.5197,0.3066)","(0.5704,0.5430)","(0.4195,0.5356)","(0.5925,0.6982)","(0.3809,0.6958)","(0.6121,0.8717)","(0.2409,0.8070)"
12,"(0.5827,0.2675)","(0.6097,0.2555)","(0.5595,0.2510)","(0.0000,0.0000)","(0.5026,0.2510)","(0.6311,0.3405)","(0.4086,0.3214)","(0.6321,0.4455)","(0.3439,0.4055)","(0.6259,0.3546)","(0.4812,0.3206)","(0.5755,0.5464)","(0.4046,0.5386)","(0.5921,0.6979)","(0.3720,0.6923)","(0.6109,0.8699)","(0.2362,0.8081)"
13,"(0.5734,0.2685)","(0.5996,0.2558)","(0.5495,0.2517)","(0.0000,0.0000)","(0.4880,0.2507)","(0.6199,0.3401)","(0.3943,0.3241)","(0.6428,0.4424)","(0.3275,0.4170)","(0.6268,0.3531)","(0.4446,0.3405)","(0.5680,0.5482)","(0.3970,0.5406)","(0.5872,0.6997)","(0.3584,0.6884)","(0.6126,0.8716)","(0.2451,0.8096)"
14,"(0.5615,0.2685)","(0.5885,0.2560)","(0.5375,0.2518)","(0.0000,0.0000)","(0.4778,0.2530)","(0.6115,0.3438)","(0.3821,0.3286)","(0.6494,0.4414)","(0.3139,0.4221)","(0.6343,0.3580)","(0.4334,0.3415)","(0.5554,0.5558)","(0.3820,0.5485)","(0.5873,0.7030)","(0.3371,0.6895)","(0.6120,0.8721)","(0.2533,0.8167)"
15,"(0.5430,0.2744)","(0.5717,0.2623)","(0.5192,0.2576)","(0.5988,0.2697)","(0.4637,0.2587)","(0.6049,0.3481)","(0.3726,0.3329)","(0.6513,0.4437)","(0.3007,0.4272)","(0.6310,0.3601)","(0.4182,0.3451)","(0.5515,0.5562)","(0.3779,0.5494)","(0.5893,0.7023)","(0.3260,0.6895)","(0.6124,0.8712)","(0.2695,0.8237)"
16,"(0.5259,0.2824)","(0.5533,0.2702)","(0.5003,0.2665)","(0.5793,0.2780)","(0.4439,0.2693)","(0.5902,0.3530)","(0.3597,0.3411)","(0.6509,0.4474)","(0.2959,0.4357)","(0.6277,0.3652)","(0.3994,0.3555)","(0.5436,0.5591)","(0.3712,0.5542)","(0.5951,0.7028)","(0.3147,0.6945)","(0.6141,0.8718)","(0.2776,0.8249)"
17,"(0.5041,0.2912)","(0.5295,0.2793)","(0.4795,0.2757)","(0.0000,0.0000)","(0.4265,0.2778)","(0.5655,0.3544)","(0.3482,0.3430)","(0.6486,0.4565)","(0.2856,0.4434)","(0.6268,0.3761)","(0.3919,0.3598)","(0.5360,0.5581)","(0.3708,0.5550)","(0.6025,0.7045)","(0.3099,0.7007)","(0.6164,0.8712)","(0.2852,0.8394)"
18,"(0.4852,0.2972)","(0.5105,0.2847)","(0.4607,0.2814)","(0.5334,0.2885)","(0.4077,0.2813)","(0.5553,0.3606)","(0.3297,0.3503)","(0.6350,0.4640)","(0.2849,0.4480)","(0.5985,0.3916)","(0.3782,0.3683)","(0.5248,0.5691)","(0.3566,0.5660)","(0.6067,0.7089)","(0.2985,0.7062)","(0.6172,0.8782)","(0.2764,0.8386)"
19,"(0.4684,0.2987)","(0.4951,0.2861)","(0.4440,0.2823)","(0.5202,0.2909)","(0.3914,0.2827)","(0.5410,0.3656)","(0.3186,0.3555)","(0.6101,0.4711)","(0.2772,0.4537)","(0.5866,0.4008)","(0.3574,0.3690)","(0.5148,0.5752)","(0.3485,0.5727)","(0.5967,0.7101)","(0.2983,0.7088)","(0.6178,0.8787)","(0.2795,0.8396)"
20,"(0.4545,0.2965)","(0.4808,0.2832)","(0.4287,0.2807)","(0.5109,0.2853)","(0.3793,0.2802)","(0.5410,0.3582)","(0.3160,0.3494)","(0.5920,0.4713)","(0.2702,0.4524)","(0.5573,0.3959)","(0.3447,0.3669)","(0.5120,0.5667)","(0.3441,0.5643)","(0.5868,0.7067)","(0.3003,0.7053)","(0.6155,0.8757)","(0.2803,0.8390)"
21,"(0.4506,0.2915)","(0.4747,0.2776)","(0.4232,0.2764)","(0.5028,0.2783)","(0.3724,0.2765)","(0.5392,0.3518)","(0.3114,0.3462)","(0.5814,0.4640)","(0.2643,0.4473)","(0.5385,0.3920)","(0.3316,0.3622)","(0.5122,0.5642)","(0.3430,0.5626)","(0.5773,0.7057)","(0.3015,0.7031)","(0.6121,0.8735)","(0.2840,0.8358)"
22,"(0.4457,0.2864)","(0.4702,0.2728)","(0.4197,0.2713)","(0.4984,0.2731)","(0.3709,0.2705)","(0.5348,0.3472)","(0.3090,0.3410)","(0.5885,0.4563)","(0.2571,0.4406)","(0.5350,0.3816)","(0.3233,0.3586)","(0.5071,0.5616)","(0.3407,0.5592)","(0.5722,0.7026)","(0.2985,0.6980)","(0.6136,0.8732)","(0.2847,0.8339)"
23,"(0.4435,0.2817)","(0.4716,0.2687)","(0.4182,0.2660)","(0.5055,0.2713)","(0.3724,0.2662)","(0.5364,0.3474)","(0.3122,0.3399)","(0.5928,0.4474)","(0.2522,0.4337)","(0.5375,0.3653)","(0.3229,0.3526)","(0.5068,0.5595)","(0.3424,0.5562)","(0.5711,0.7015)","(0.2981,0.6957)","(0.6161,0.8733)","(0.2851,0.8303)"
24,"(0.4426,0.2789)","(0.4698,0.2657)","(0.4172,0.2637)","(0.5039,0.2689)","(0.3726,0.2652)","(0.5387,0.3447)","(0.3140,0.3392)","(0.6038,0.4421)","(0.2545,0.4317)","(0.5492,0.3610)","(0.3242,0.3476)","(0.5092,0.5576)","(0.3444,0.5547)","(0.5730,0.7008)","(0.2976,0.6948)","(0.6185,0.8719)","(0.2840,0.8291)"
25,"(0.4446,0.2778)","(0.4739,0.2655)","(0.4203,0.2625)","(0.5101,0.2708)","(0.3763,0.2650)","(0.5424,0.3463)","(0.3177,0.3406)","(0.6111,0.4389)","(0.2614,0.4338)","(0.5568,0.3493)","(0.3266,0.3496)","(0.5152,0.5581)","(0.3496,0.5554)","(0.5765,0.7006)","(0.2983,0.6960)","(0.6229,0.8695)","(0.2844,0.8299)"
26,"(0.4526,0.2811)","(0.4806,0.2682)","(0.4268,0.2659)","(0.5158,0.2719)","(0.3818,0.2680)","(0.5489,0.3453)","(0.3258,0.3420)","(0.6213,0.4385)","(0.2737,0.4368)","(0.5716,0.3545)","(0.3305,0.3536)","(0.5218,0.5578)","(0.3568,0.5558)","(0.5849,0.7004)","(0.3005,0.6968)","(0.6277,0.8687)","(0.2839,0.8291)"
