frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.6631,0.4960)","(0.5211,0.5356)","(0.6156,0.5528)","(0.5596,0.6198)","(0.7018,0.6201)","(0.0000,0.0000)","(0.8400,0.5846)","(0.5422,0.7092)","(0.5669,0.7249)","(0.7100,0.8011)","(0.5682,0.8579)","(0.6964,0.9342)","(0.3135,0.9379)"
11,"(0.6901,0.5068)","(0.0000,0.0000)","(0.6890,0.4952)","(0.0000,0.0000)","(0.6433,0.4904)","(0.5372,0.5324)","(0.5978,0.5508)","(0.5612,0.6198)","(0.6254,0.6338)","(0.7123,0.5895)","(0.7467,0.5966)","(0.5583,0.7024)","(0.5628,0.7191)","(0.7053,0.8072)","(0.5704,0.8555)","(0.6949,0.9374)","(0.3054,0.9398)"
12,"(0.6947,0.5012)","(0.0000,0.0000)","(0.6823,0.4892)","(0.0000,0.0000)","(0.6200,0.4873)","(0.5797,0.5300)","(0.5668,0.5464)","(0.5948,0.6084)","(0.5847,0.6234)","(0.7106,0.5819)","(0.6959,0.5838)","(0.5894,0.7007)","(0.5446,0.7157)","(0.7065,0.8052)","(0.5482,0.8513)","(0.6908,0.9352)","(0.2964,0.9413)"
13,"(0.6884,0.4915)","(0.0000,0.0000)","(0.6767,0.4793)","(0.0000,0.0000)","(0.6161,0.4774)","(0.5853,0.5286)","(0.5442,0.5359)","(0.6035,0.6179)","(0.5503,0.6172)","(0.6847,0.5705)","(0.6584,0.5632)","(0.5885,0.6983)","(0.5271,0.7093)","(0.7010,0.8047)","(0.5241,0.8430)","(0.6890,0.9332)","(0.2972,0.9423)"
14,"(0.6719,0.4872)","(0.0000,0.0000)","(0.6591,0.4740)","(0.0000,0.0000)","(0.5989,0.4707)","(0.6029,0.5296)","(0.5111,0.5299)","(0.6451,0.6172)","(0.5177,0.6083)","(0.6772,0.5607)","(0.6152,0.5527)","(0.5948,0.7002)","(0.5046,0.7071)","(0.6921,0.8077)","(0.5007,0.8371)","(0.6852,0.9357)","(0.2990,0.9429)"
15,"(0.6537,0.4807)","(0.0000,0.0000)","(0.6418,0.4673)","(0.0000,0.0000)","(0.5856,0.4625)","(0.5979,0.5228)","(0.4803,0.5141)","(0.6530,0.6181)","(0.4872,0.5996)","(0.6718,0.5552)","(0.5981,0.5372)","(0.5973,0.6935)","(0.4861,0.6973)","(0.6780,0.8094)","(0.4621,0.8272)","(0.6833,0.9379)","(0.3009,0.9483)"
16,"(0.6543,0.4812)","(0.0000,0.0000)","(0.6426,0.4678)","(0.0000,0.0000)","(0.5858,0.4627)","(0.5965,0.5226)","(0.4808,0.5141)","(0.6527,0.6181)","(0.4877,0.6002)","(0.6726,0.5549)","(0.5992,0.5371)","(0.5967,0.6938)","(0.4870,0.6978)","(0.6783,0.8091)","(0.4657,0.8278)","(0.6836,0.9374)","(0.3018,0.9482)"
17,"(0.6276,0.4740)","(0.0000,0.0000)","(0.6201,0.4611)","(0.0000,0.0000)","(0.5717,0.4563)","(0.5873,0.5226)","(0.4542,0.5119)","(0.6482,0.6112)","(0.4649,0.5928)","(0.6668,0.5502)","(0.5750,0.5230)","(0.5786,0.6964)","(0.4574,0.6995)","(0.6667,0.8146)","(0.4221,0.8290)","(0.6934,0.9366)","(0.3006,0.9595)"
18,"(0.5991,0.4749)","(0.0000,0.0000)","(0.5907,0.4610)","(0.0000,0.0000)","(0.5492,0.4528)","(0.5730,0.5211)","(0.4258,0.5059)","(0.6321,0.6148)","(0.4292,0.5846)","(0.6639,0.5564)","(0.5571,0.5178)","(0.5747,0.6966)","(0.4484,0.6973)","(0.6596,0.8176)","(0.4023,0.8295)","(0.6903,0.9437)","(0.3069,0.9612)"
19,"(0.5783,0.4703)","(0.0000,0.0000)","(0.5672,0.4563)","(0.0000,0.0000)","(0.5205,0.4505)","(0.5631,0.5229)","(0.4027,0.5059)","(0.6193,0.6178)","(0.4066,0.5833)","(0.6505,0.5600)","(0.5301,0.5179)","(0.5624,0.6985)","(0.4272,0.6991)","(0.6506,0.8184)","(0.3778,0.8329)","(0.6867,0.9433)","(0.3022,0.9640)"
20,"(0.5535,0.4675)","(0.5693,0.4582)","(0.5373,0.4538)","(0.0000,0.0000)","(0.4818,0.4524)","(0.5562,0.5277)","(0.3804,0.5130)","(0.6037,0.6213)","(0.3709,0.5965)","(0.6272,0.5689)","(0.4876,0.5217)","(0.5497,0.7009)","(0.4046,0.7033)","(0.6381,0.8201)","(0.3575,0.8320)","(0.6803,0.9399)","(0.2989,0.9708)"
21,"(0.5313,0.4663)","(0.5506,0.4568)","(0.5130,0.4522)","(0.0000,0.0000)","(0.4535,0.4522)","(0.5475,0.5293)","(0.3552,0.5139)","(0.5836,0.6269)","(0.3509,0.6017)","(0.6091,0.5762)","(0.4603,0.5277)","(0.5416,0.7026)","(0.3874,0.7044)","(0.6338,0.8199)","(0.3563,0.8330)","(0.6672,0.9410)","(0.3037,0.9683)"
22,"(0.5086,0.4618)","(0.5310,0.4522)","(0.4871,0.4476)","(0.0000,0.0000)","(0.4302,0.4491)","(0.5442,0.5272)","(0.3434,0.5134)","(0.5649,0.6270)","(0.3352,0.6040)","(0.5952,0.5723)","(0.4326,0.5330)","(0.5364,0.6992)","(0.3782,0.7014)","(0.6272,0.8191)","(0.3457,0.8343)","(0.6575,0.9442)","(0.3015,0.9677)"
