frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
17,"(0.6575,0.2352)","(0.6927,0.2204)","(0.6232,0.2152)","(0.0000,0.0000)","(0.5575,0.2163)","(0.6877,0.3273)","(0.4907,0.2837)","(0.7397,0.4541)","(0.3048,0.3149)","(0.7182,0.3530)","(0.3293,0.2449)","(0.6233,0.5628)","(0.4825,0.5508)","(0.6819,0.7363)","(0.4151,0.7397)","(0.6852,0.8924)","(0.3859,0.8793)"
18,"(0.6669,0.2316)","(0.7048,0.2185)","(0.6361,0.2109)","(0.7379,0.2306)","(0.5727,0.2124)","(0.6951,0.3217)","(0.4715,0.2824)","(0.7437,0.4560)","(0.2768,0.3498)","(0.7292,0.3523)","(0.3158,0.2626)","(0.6288,0.5603)","(0.4687,0.5494)","(0.6758,0.7392)","(0.4011,0.7382)","(0.6744,0.8927)","(0.3778,0.8767)"
19,"(0.6668,0.2285)","(0.7074,0.2155)","(0.6374,0.2068)","(0.7436,0.2280)","(0.5757,0.2077)","(0.6963,0.3191)","(0.4610,0.2854)","(0.7436,0.4565)","(0.2789,0.3839)","(0.7338,0.3605)","(0.3204,0.3242)","(0.6234,0.5586)","(0.4552,0.5494)","(0.6692,0.7356)","(0.3922,0.7358)","(0.6778,0.8932)","(0.3731,0.8847)"
20,"(0.6606,0.2264)","(0.7015,0.2135)","(0.6315,0.2041)","(0.7365,0.2253)","(0.5668,0.2038)","(0.6952,0.3140)","(0.4432,0.2824)","(0.7463,0.4556)","(0.2972,0.4003)","(0.7237,0.3490)","(0.3356,0.3438)","(0.6276,0.5572)","(0.4465,0.5473)","(0.6638,0.7399)","(0.3785,0.7340)","(0.6723,0.8975)","(0.3716,0.8840)"
21,"(0.6419,0.2261)","(0.6854,0.2140)","(0.6157,0.2036)","(0.7228,0.2280)","(0.5530,0.2045)","(0.6946,0.3207)","(0.4344,0.2927)","(0.7397,0.4537)","(0.3106,0.4164)","(0.7036,0.3430)","(0.3341,0.3453)","(0.6240,0.5732)","(0.4337,0.5618)","(0.6576,0.7523)","(0.3526,0.7369)","(0.6804,0.9150)","(0.3825,0.8540)"
22,"(0.6228,0.2301)","(0.6633,0.2170)","(0.5937,0.2094)","(0.7025,0.2300)","(0.5331,0.2130)","(0.6979,0.3272)","(0.4293,0.3047)","(0.7362,0.4571)","(0.3143,0.4282)","(0.6863,0.3447)","(0.3247,0.3596)","(0.6180,0.5686)","(0.4250,0.5578)","(0.6604,0.7492)","(0.3585,0.7309)","(0.6779,0.9107)","(0.4070,0.8534)"
23,"(0.6028,0.2394)","(0.6405,0.2257)","(0.5736,0.2195)","(0.6796,0.2367)","(0.5164,0.2235)","(0.6975,0.3365)","(0.4196,0.3176)","(0.7397,0.4649)","(0.3216,0.4389)","(0.6771,0.3682)","(0.3138,0.3651)","(0.6138,0.5769)","(0.4168,0.5669)","(0.6614,0.7488)","(0.3635,0.7307)","(0.6823,0.8981)","(0.4211,0.8529)"
24,"(0.5793,0.2498)","(0.6175,0.2366)","(0.5513,0.2303)","(0.6569,0.2468)","(0.4979,0.2330)","(0.6778,0.3417)","(0.4172,0.3246)","(0.7327,0.4765)","(0.3131,0.4468)","(0.6633,0.3993)","(0.3021,0.3618)","(0.6070,0.5778)","(0.4236,0.5696)","(0.6538,0.7482)","(0.3880,0.7300)","(0.6789,0.8998)","(0.4253,0.8608)"
25,"(0.5584,0.2559)","(0.5967,0.2435)","(0.5320,0.2370)","(0.6348,0.2550)","(0.4803,0.2403)","(0.6650,0.3478)","(0.3987,0.3333)","(0.7162,0.4801)","(0.3058,0.4562)","(0.6586,0.4215)","(0.2956,0.3647)","(0.6030,0.5791)","(0.4171,0.5728)","(0.6481,0.7499)","(0.3989,0.7313)","(0.6746,0.9002)","(0.4203,0.8680)"
26,"(0.5445,0.2588)","(0.5815,0.2449)","(0.5153,0.2405)","(0.6221,0.2540)","(0.4641,0.2440)","(0.6652,0.3506)","(0.3945,0.3380)","(0.7108,0.4893)","(0.3130,0.4602)","(0.6385,0.4358)","(0.2966,0.3697)","(0.6054,0.5816)","(0.4179,0.5751)","(0.6436,0.7531)","(0.4008,0.7330)","(0.6678,0.8974)","(0.4249,0.8687)"
27,"(0.5333,0.2553)","(0.5704,0.2412)","(0.5047,0.2374)","(0.6154,0.2497)","(0.4580,0.2414)","(0.6638,0.3470)","(0.3950,0.3358)","(0.7040,0.4849)","(0.3210,0.4572)","(0.6347,0.4262)","(0.2977,0.3687)","(0.6061,0.5819)","(0.4203,0.5753)","(0.6333,0.7518)","(0.4113,0.7304)","(0.6673,0.8957)","(0.4236,0.8665)"
28,"(0.5301,0.2482)","(0.5685,0.2339)","(0.5014,0.2303)","(0.6181,0.2424)","(0.4571,0.2345)","(0.6627,0.3386)","(0.3988,0.3281)","(0.7075,0.4742)","(0.3223,0.4498)","(0.6210,0.4039)","(0.2991,0.3653)","(0.6069,0.5719)","(0.4258,0.5649)","(0.6229,0.7465)","(0.4148,0.7238)","(0.6663,0.8986)","(0.4245,0.8651)"
29,"(0.5321,0.2380)","(0.5708,0.2236)","(0.5037,0.2202)","(0.6226,0.2329)","(0.4609,0.2254)","(0.6730,0.3321)","(0.4031,0.3208)","(0.7158,0.4651)","(0.3223,0.4440)","(0.6247,0.3713)","(0.2976,0.3606)","(0.6113,0.5651)","(0.4264,0.5564)","(0.6238,0.7423)","(0.4189,0.7162)","(0.6624,0.8988)","(0.4238,0.8595)"
30,"(0.5329,0.2301)","(0.5727,0.2156)","(0.5055,0.2121)","(0.6294,0.2263)","(0.4637,0.2189)","(0.6844,0.3255)","(0.4045,0.3156)","(0.7326,0.4521)","(0.3235,0.4381)","(0.6380,0.3508)","(0.3019,0.3469)","(0.6236,0.5637)","(0.4343,0.5547)","(0.6181,0.7391)","(0.4117,0.7147)","(0.6648,0.8948)","(0.4312,0.8547)"
31,"(0.5424,0.2229)","(0.5813,0.2085)","(0.5129,0.2060)","(0.6347,0.2206)","(0.4701,0.2154)","(0.6859,0.3174)","(0.4134,0.3122)","(0.7457,0.4464)","(0.3259,0.4353)","(0.6505,0.3291)","(0.3067,0.3416)","(0.6381,0.5585)","(0.4553,0.5537)","(0.6179,0.7358)","(0.4213,0.7253)","(0.6496,0.8879)","(0.4417,0.8776)"
32,"(0.5502,0.2201)","(0.5905,0.2060)","(0.5212,0.2036)","(0.6469,0.2204)","(0.4794,0.2156)","(0.7011,0.3175)","(0.4310,0.3104)","(0.7581,0.4410)","(0.3285,0.4267)","(0.6500,0.3235)","(0.3162,0.3293)","(0.6415,0.5605)","(0.4591,0.5522)","(0.6095,0.7396)","(0.4255,0.7153)","(0.6722,0.9044)","(0.4320,0.8617)"
33,"(0.5573,0.2178)","(0.5979,0.2031)","(0.5275,0.2008)","(0.6548,0.2163)","(0.4854,0.2117)","(0.7126,0.3161)","(0.4425,0.3088)","(0.7672,0.4422)","(0.3438,0.4283)","(0.6542,0.3234)","(0.3395,0.3310)","(0.6513,0.5588)","(0.4691,0.5496)","(0.6099,0.7380)","(0.4333,0.7108)","(0.6687,0.9022)","(0.4339,0.8587)"
34,"(0.5644,0.2137)","(0.6039,0.1992)","(0.5349,0.1972)","(0.6584,0.2128)","(0.4931,0.2088)","(0.7210,0.3149)","(0.4562,0.3085)","(0.7710,0.4479)","(0.3710,0.4362)","(0.6571,0.3374)","(0.3567,0.3417)","(0.6599,0.5523)","(0.4795,0.5426)","(0.6148,0.7383)","(0.4439,0.7081)","(0.6715,0.9041)","(0.4387,0.8590)"
