frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.5199,0.3220)","(0.0000,0.0000)","(0.5090,0.3095)","(0.0000,0.0000)","(0.4450,0.3131)","(0.3880,0.3638)","(0.4135,0.3813)","(0.4772,0.4173)","(0.4287,0.4587)","(0.6205,0.3597)","(0.6017,0.3818)","(0.4096,0.5604)","(0.3862,0.5756)","(0.5389,0.6675)","(0.3511,0.7252)","(0.5498,0.8085)","(0.0897,0.8533)"
11,"(0.5285,0.3275)","(0.0000,0.0000)","(0.5315,0.3143)","(0.0000,0.0000)","(0.4890,0.3112)","(0.3465,0.3677)","(0.4454,0.3752)","(0.4259,0.4518)","(0.5398,0.4553)","(0.6148,0.3954)","(0.6610,0.3959)","(0.3824,0.5568)","(0.4036,0.5699)","(0.5218,0.6676)","(0.3496,0.7196)","(0.5506,0.8137)","(0.1037,0.8579)"
12,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5137,0.3174)","(0.3431,0.3750)","(0.4780,0.3704)","(0.4304,0.4469)","(0.6184,0.4084)","(0.0000,0.0000)","(0.6970,0.3862)","(0.3905,0.5623)","(0.4254,0.5738)","(0.5311,0.6723)","(0.3476,0.7191)","(0.5546,0.8112)","(0.1093,0.8542)"
13,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5301,0.3252)","(0.3441,0.3747)","(0.5235,0.3737)","(0.4041,0.4002)","(0.7188,0.3706)","(0.0000,0.0000)","(0.8539,0.3469)","(0.3815,0.5611)","(0.4402,0.5715)","(0.5230,0.6666)","(0.3369,0.7220)","(0.5603,0.8084)","(0.0943,0.8582)"
14,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5394,0.3217)","(0.3469,0.3768)","(0.5236,0.3589)","(0.0000,0.0000)","(0.6917,0.3430)","(0.0000,0.0000)","(0.8572,0.3382)","(0.3893,0.5656)","(0.4524,0.5682)","(0.5365,0.6688)","(0.3490,0.7237)","(0.5642,0.8149)","(0.1035,0.8518)"
15,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5384,0.3246)","(0.3557,0.3715)","(0.5288,0.3629)","(0.3890,0.4222)","(0.7093,0.3557)","(0.0000,0.0000)","(0.8490,0.3358)","(0.3870,0.5561)","(0.4407,0.5621)","(0.5290,0.6725)","(0.3628,0.7182)","(0.5547,0.8160)","(0.1067,0.8540)"
16,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5378,0.3249)","(0.3606,0.3748)","(0.5284,0.3621)","(0.4026,0.4339)","(0.7078,0.3545)","(0.0000,0.0000)","(0.8476,0.3373)","(0.3911,0.5565)","(0.4420,0.5612)","(0.5305,0.6737)","(0.3625,0.7177)","(0.5543,0.8156)","(0.1065,0.8542)"
17,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5185,0.3216)","(0.3762,0.3767)","(0.4957,0.3603)","(0.4135,0.4374)","(0.6661,0.3581)","(0.0000,0.0000)","(0.7601,0.3466)","(0.3912,0.5612)","(0.4168,0.5638)","(0.5349,0.6730)","(0.3666,0.7162)","(0.5466,0.8156)","(0.1149,0.8535)"
18,"(0.0000,0.0000)","(0.0000,0.0000)","(0.5488,0.3392)","(0.0000,0.0000)","(0.5025,0.3243)","(0.4148,0.3699)","(0.4749,0.3646)","(0.5639,0.3896)","(0.6197,0.3635)","(0.0000,0.0000)","(0.6693,0.3526)","(0.4197,0.5542)","(0.4163,0.5595)","(0.5390,0.6754)","(0.3736,0.7168)","(0.5528,0.8166)","(0.1228,0.8534)"
19,"(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.0000,0.0000)","(0.5170,0.3131)","(0.4384,0.3649)","(0.4538,0.3533)","(0.4825,0.4501)","(0.4834,0.4065)","(0.5956,0.4112)","(0.5720,0.3622)","(0.4396,0.5535)","(0.4133,0.5578)","(0.5501,0.6774)","(0.3842,0.7139)","(0.5424,0.8197)","(0.1321,0.8476)"
20,"(0.5391,0.3383)","(0.0000,0.0000)","(0.5293,0.3250)","(0.0000,0.0000)","(0.4766,0.3129)","(0.4627,0.3684)","(0.4142,0.3595)","(0.4997,0.4657)","(0.4224,0.4343)","(0.5959,0.4081)","(0.5212,0.3639)","(0.4671,0.5547)","(0.4026,0.5602)","(0.5627,0.6777)","(0.3878,0.7144)","(0.5437,0.8199)","(0.1360,0.8480)"
21,"(0.5322,0.3383)","(0.0000,0.0000)","(0.5217,0.3246)","(0.0000,0.0000)","(0.4592,0.3155)","(0.4724,0.3771)","(0.3734,0.3675)","(0.5411,0.4652)","(0.3856,0.4395)","(0.6222,0.4059)","(0.4887,0.3690)","(0.4754,0.5643)","(0.3789,0.5703)","(0.5769,0.6798)","(0.3723,0.7174)","(0.5462,0.8190)","(0.1323,0.8501)"
22,"(0.5061,0.3353)","(0.0000,0.0000)","(0.4963,0.3216)","(0.0000,0.0000)","(0.4385,0.3143)","(0.4699,0.3801)","(0.3397,0.3700)","(0.5550,0.4683)","(0.3578,0.4452)","(0.6313,0.4033)","(0.4835,0.3658)","(0.4741,0.5683)","(0.3577,0.5752)","(0.5747,0.6801)","(0.3423,0.7234)","(0.5452,0.8194)","(0.1222,0.8597)"
23,"(0.4911,0.3314)","(0.0000,0.0000)","(0.4814,0.3177)","(0.0000,0.0000)","(0.4225,0.3113)","(0.4626,0.3798)","(0.3179,0.3698)","(0.5538,0.4694)","(0.3385,0.4488)","(0.6245,0.4065)","(0.4624,0.3668)","(0.4646,0.5714)","(0.3375,0.5791)","(0.5736,0.6789)","(0.3123,0.7261)","(0.5435,0.8154)","(0.1145,0.8667)"
24,"(0.4775,0.3243)","(0.0000,0.0000)","(0.4695,0.3104)","(0.0000,0.0000)","(0.4100,0.3052)","(0.4375,0.3762)","(0.2954,0.3691)","(0.5275,0.4740)","(0.3115,0.4504)","(0.6089,0.4108)","(0.4256,0.3694)","(0.4380,0.5696)","(0.3137,0.5807)","(0.5499,0.6686)","(0.2912,0.7297)","(0.5425,0.8154)","(0.1085,0.8673)"
25,"(0.4647,0.3103)","(0.0000,0.0000)","(0.4552,0.2968)","(0.0000,0.0000)","(0.3916,0.2939)","(0.4187,0.3683)","(0.2785,0.3612)","(0.4852,0.4716)","(0.2959,0.4465)","(0.5725,0.4166)","(0.3990,0.3650)","(0.4267,0.5664)","(0.2985,0.5773)","(0.5193,0.6762)","(0.2651,0.7263)","(0.5470,0.8145)","(0.1064,0.8712)"
