frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.4326,0.3762)","(0.4395,0.3647)","(0.0000,0.0000)","(0.4850,0.3577)","(0.0000,0.0000)","(0.5037,0.4075)","(0.6092,0.4015)","(0.4439,0.4765)","(0.5535,0.4796)","(0.3032,0.4437)","(0.0000,0.0000)","(0.5380,0.5738)","(0.5720,0.5643)","(0.5444,0.7087)","(0.4257,0.6648)","(0.7967,0.8018)","(0.4261,0.7982)"
11,"(0.4284,0.3676)","(0.4366,0.3554)","(0.0000,0.0000)","(0.4918,0.3500)","(0.0000,0.0000)","(0.5254,0.4028)","(0.5838,0.3938)","(0.5136,0.4851)","(0.5587,0.4745)","(0.3809,0.4536)","(0.4175,0.4494)","(0.5547,0.5717)","(0.5568,0.5615)","(0.5488,0.7080)","(0.4264,0.6668)","(0.8049,0.7988)","(0.4193,0.7971)"
12,"(0.4341,0.3625)","(0.4390,0.3496)","(0.0000,0.0000)","(0.4843,0.3428)","(0.0000,0.0000)","(0.5503,0.3987)","(0.5535,0.3871)","(0.5529,0.4816)","(0.5349,0.4697)","(0.4312,0.4465)","(0.4144,0.4366)","(0.5737,0.5737)","(0.5384,0.5604)","(0.5710,0.7080)","(0.4203,0.6625)","(0.8220,0.8027)","(0.4286,0.7948)"
13,"(0.4323,0.3508)","(0.4460,0.3387)","(0.0000,0.0000)","(0.5095,0.3369)","(0.0000,0.0000)","(0.5728,0.3925)","(0.5412,0.3864)","(0.5834,0.4749)","(0.5345,0.4741)","(0.4637,0.4264)","(0.4329,0.4224)","(0.5939,0.5662)","(0.5357,0.5571)","(0.5949,0.7005)","(0.4264,0.6657)","(0.8299,0.7999)","(0.4300,0.7962)"
14,"(0.4482,0.3467)","(0.4590,0.3338)","(0.0000,0.0000)","(0.5185,0.3296)","(0.0000,0.0000)","(0.6038,0.3827)","(0.5226,0.3874)","(0.6065,0.4634)","(0.4864,0.4763)","(0.4909,0.4109)","(0.4422,0.4187)","(0.6234,0.5608)","(0.5376,0.5565)","(0.6214,0.6947)","(0.4335,0.6689)","(0.8259,0.7994)","(0.4299,0.7982)"
15,"(0.4674,0.3406)","(0.4790,0.3274)","(0.0000,0.0000)","(0.5384,0.3220)","(0.0000,0.0000)","(0.6304,0.3737)","(0.5230,0.3843)","(0.6267,0.4494)","(0.4816,0.4698)","(0.5091,0.3988)","(0.4440,0.4176)","(0.6472,0.5544)","(0.5477,0.5532)","(0.6468,0.6850)","(0.4451,0.6694)","(0.8100,0.8009)","(0.4355,0.7991)"
16,"(0.4673,0.3407)","(0.4791,0.3274)","(0.0000,0.0000)","(0.5392,0.3222)","(0.0000,0.0000)","(0.6326,0.3742)","(0.5226,0.3844)","(0.6269,0.4503)","(0.4827,0.4704)","(0.5091,0.3995)","(0.4444,0.4174)","(0.6497,0.5551)","(0.5477,0.5537)","(0.6520,0.6864)","(0.4445,0.6696)","(0.8116,0.8016)","(0.4348,0.7991)"
17,"(0.4904,0.3363)","(0.5018,0.3233)","(0.0000,0.0000)","(0.5591,0.3180)","(0.0000,0.0000)","(0.6639,0.3693)","(0.5228,0.3831)","(0.6579,0.4420)","(0.4801,0.4689)","(0.5357,0.3807)","(0.4546,0.4172)","(0.6723,0.5555)","(0.5508,0.5556)","(0.6858,0.6867)","(0.4548,0.6755)","(0.8080,0.8106)","(0.4380,0.8028)"
18,"(0.5180,0.3319)","(0.5303,0.3184)","(0.0000,0.0000)","(0.5869,0.3148)","(0.0000,0.0000)","(0.6946,0.3685)","(0.5350,0.3849)","(0.6945,0.4443)","(0.4771,0.4753)","(0.5554,0.3764)","(0.4639,0.4130)","(0.6787,0.5563)","(0.5458,0.5574)","(0.7165,0.6872)","(0.4697,0.6795)","(0.8081,0.8162)","(0.4319,0.8055)"
19,"(0.5424,0.3293)","(0.5560,0.3166)","(0.5295,0.3212)","(0.6160,0.3135)","(0.0000,0.0000)","(0.7234,0.3679)","(0.5534,0.3837)","(0.7253,0.4430)","(0.4985,0.4743)","(0.5954,0.3731)","(0.4744,0.4246)","(0.7120,0.5598)","(0.5728,0.5598)","(0.7383,0.6892)","(0.4755,0.6806)","(0.8090,0.8174)","(0.4396,0.8060)"
20,"(0.5645,0.3307)","(0.5838,0.3177)","(0.5509,0.3205)","(0.6491,0.3168)","(0.0000,0.0000)","(0.7445,0.3753)","(0.5622,0.3849)","(0.7588,0.4524)","(0.5189,0.4792)","(0.6302,0.3789)","(0.4923,0.4337)","(0.7226,0.5654)","(0.5737,0.5620)","(0.7572,0.6939)","(0.4797,0.6785)","(0.8148,0.8219)","(0.4503,0.8053)"
21,"(0.5899,0.3257)","(0.6082,0.3124)","(0.5723,0.3160)","(0.6681,0.3108)","(0.0000,0.0000)","(0.7664,0.3722)","(0.5721,0.3836)","(0.7787,0.4608)","(0.5404,0.4846)","(0.6560,0.3889)","(0.5036,0.4344)","(0.7287,0.5576)","(0.5747,0.5550)","(0.7613,0.6919)","(0.4994,0.6788)","(0.8123,0.8213)","(0.4357,0.8046)"
22,"(0.6050,0.3238)","(0.6252,0.3100)","(0.5857,0.3135)","(0.6893,0.3099)","(0.0000,0.0000)","(0.7780,0.3740)","(0.5797,0.3858)","(0.7969,0.4599)","(0.5537,0.4856)","(0.6838,0.3992)","(0.5229,0.4326)","(0.7383,0.5604)","(0.5815,0.5595)","(0.7705,0.6895)","(0.4933,0.6829)","(0.8130,0.8216)","(0.4598,0.8099)"
