frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
13,"(0.5615,0.3533)","(0.0000,0.0000)","(0.5487,0.3413)","(0.0000,0.0000)","(0.4920,0.3381)","(0.4692,0.3879)","(0.4155,0.3901)","(0.4793,0.4734)","(0.4066,0.4758)","(0.5638,0.4245)","(0.5335,0.4252)","(0.4869,0.5537)","(0.4141,0.5644)","(0.5826,0.6651)","(0.3866,0.6983)","(0.5669,0.7937)","(0.1758,0.8085)"
14,"(0.5470,0.3483)","(0.0000,0.0000)","(0.5381,0.3352)","(0.0000,0.0000)","(0.4855,0.3292)","(0.4719,0.3865)","(0.3803,0.3810)","(0.5180,0.4815)","(0.3841,0.4673)","(0.5497,0.4230)","(0.4945,0.4149)","(0.4880,0.5548)","(0.3931,0.5609)","(0.5689,0.6698)","(0.3740,0.6913)","(0.5668,0.8000)","(0.1809,0.8062)"
15,"(0.5283,0.3404)","(0.0000,0.0000)","(0.5185,0.3275)","(0.0000,0.0000)","(0.4647,0.3226)","(0.4799,0.3848)","(0.3567,0.3775)","(0.5308,0.4745)","(0.3591,0.4580)","(0.5551,0.4181)","(0.4724,0.3965)","(0.4611,0.5585)","(0.3540,0.5618)","(0.5498,0.6698)","(0.3428,0.6896)","(0.5608,0.7954)","(0.1931,0.8059)"
16,"(0.5282,0.3414)","(0.0000,0.0000)","(0.5186,0.3284)","(0.0000,0.0000)","(0.4646,0.3228)","(0.4794,0.3849)","(0.3563,0.3777)","(0.5303,0.4744)","(0.3601,0.4582)","(0.5550,0.4178)","(0.4734,0.3963)","(0.4619,0.5598)","(0.3549,0.5633)","(0.5504,0.6712)","(0.3452,0.6911)","(0.5622,0.7959)","(0.1944,0.8062)"
17,"(0.5050,0.3347)","(0.0000,0.0000)","(0.4926,0.3217)","(0.0000,0.0000)","(0.4373,0.3166)","(0.4696,0.3818)","(0.3293,0.3718)","(0.5287,0.4716)","(0.3357,0.4491)","(0.5502,0.4164)","(0.4501,0.3840)","(0.4471,0.5584)","(0.3295,0.5604)","(0.5387,0.6697)","(0.3131,0.6854)","(0.5607,0.7967)","(0.1930,0.8122)"
18,"(0.4804,0.3312)","(0.0000,0.0000)","(0.4729,0.3185)","(0.0000,0.0000)","(0.4307,0.3129)","(0.4438,0.3770)","(0.2999,0.3639)","(0.5092,0.4725)","(0.3042,0.4446)","(0.5362,0.4134)","(0.4299,0.3799)","(0.4451,0.5510)","(0.3227,0.5538)","(0.5247,0.6684)","(0.2888,0.6865)","(0.5738,0.7972)","(0.1791,0.8126)"
19,"(0.4540,0.3324)","(0.0000,0.0000)","(0.4463,0.3181)","(0.0000,0.0000)","(0.3989,0.3090)","(0.4347,0.3783)","(0.2707,0.3604)","(0.5006,0.4780)","(0.2704,0.4432)","(0.5209,0.4169)","(0.3939,0.3812)","(0.4349,0.5527)","(0.2994,0.5543)","(0.5186,0.6681)","(0.2584,0.6872)","(0.5599,0.8025)","(0.1726,0.8186)"
20,"(0.4159,0.3305)","(0.4368,0.3218)","(0.4011,0.3164)","(0.0000,0.0000)","(0.3543,0.3106)","(0.4372,0.3820)","(0.2548,0.3673)","(0.4813,0.4815)","(0.2458,0.4519)","(0.5055,0.4287)","(0.3548,0.3856)","(0.4300,0.5569)","(0.2819,0.5590)","(0.5105,0.6712)","(0.2468,0.6902)","(0.5594,0.7936)","(0.1730,0.8199)"
21,"(0.4044,0.3246)","(0.4236,0.3162)","(0.3893,0.3106)","(0.0000,0.0000)","(0.3347,0.3078)","(0.4198,0.3817)","(0.2337,0.3691)","(0.4524,0.4808)","(0.2261,0.4616)","(0.4938,0.4365)","(0.3281,0.3922)","(0.4227,0.5560)","(0.2694,0.5588)","(0.4991,0.6770)","(0.2321,0.6897)","(0.5528,0.7961)","(0.1666,0.8210)"
22,"(0.3833,0.3221)","(0.4036,0.3126)","(0.3648,0.3083)","(0.0000,0.0000)","(0.3112,0.3074)","(0.4110,0.3813)","(0.2199,0.3699)","(0.4304,0.4791)","(0.2082,0.4616)","(0.4693,0.4029)","(0.3062,0.3964)","(0.4168,0.5570)","(0.2608,0.5598)","(0.4910,0.6763)","(0.2258,0.6900)","(0.5459,0.7997)","(0.1691,0.8213)"
