frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
11,"(0.5448,0.2454)","(0.5673,0.2302)","(0.0000,0.0000)","(0.6323,0.2316)","(0.0000,0.0000)","(0.7162,0.3151)","(0.6374,0.3175)","(0.6246,0.4253)","(0.5758,0.4271)","(0.5328,0.3575)","(0.5127,0.3727)","(0.7083,0.5518)","(0.6790,0.5419)","(0.5796,0.7326)","(0.6801,0.7091)","(0.6027,0.9395)","(0.8422,0.8573)"
12,"(0.5257,0.2353)","(0.5530,0.2190)","(0.5134,0.2227)","(0.6347,0.2213)","(0.0000,0.0000)","(0.7520,0.3097)","(0.5618,0.3189)","(0.6955,0.4190)","(0.5132,0.4393)","(0.5887,0.3182)","(0.4154,0.3746)","(0.7140,0.5566)","(0.6136,0.5482)","(0.6047,0.7421)","(0.6695,0.7219)","(0.5952,0.9447)","(0.8404,0.8617)"
13,"(0.5298,0.2225)","(0.5659,0.2054)","(0.5095,0.2094)","(0.6559,0.2127)","(0.0000,0.0000)","(0.7544,0.3051)","(0.5106,0.3154)","(0.7622,0.4100)","(0.3770,0.4052)","(0.6403,0.3002)","(0.2457,0.3168)","(0.7498,0.5609)","(0.6205,0.5575)","(0.6426,0.7468)","(0.6898,0.7414)","(0.6132,0.9480)","(0.7793,0.8917)"
14,"(0.5247,0.2190)","(0.5657,0.2005)","(0.5053,0.2042)","(0.6555,0.2078)","(0.0000,0.0000)","(0.7481,0.3055)","(0.4512,0.2962)","(0.8163,0.4076)","(0.1640,0.3241)","(0.6672,0.3089)","(0.1600,0.2961)","(0.7555,0.5566)","(0.6007,0.5539)","(0.6675,0.7528)","(0.6744,0.7561)","(0.6605,0.9298)","(0.7297,0.9054)"
15,"(0.5298,0.2159)","(0.5643,0.1965)","(0.5060,0.2023)","(0.6479,0.1996)","(0.0000,0.0000)","(0.7471,0.3038)","(0.4510,0.2822)","(0.8011,0.4129)","(0.1389,0.2848)","(0.6494,0.2998)","(0.1315,0.2565)","(0.7270,0.5541)","(0.5744,0.5467)","(0.6529,0.7549)","(0.6571,0.7559)","(0.6158,0.9561)","(0.7071,0.9012)"
16,"(0.5270,0.2037)","(0.5612,0.1851)","(0.5037,0.1915)","(0.6427,0.1922)","(0.0000,0.0000)","(0.7397,0.2973)","(0.4667,0.2790)","(0.7762,0.4262)","(0.2221,0.2947)","(0.6277,0.3112)","(0.0504,0.2333)","(0.7274,0.5506)","(0.5810,0.5417)","(0.6428,0.7497)","(0.6386,0.7455)","(0.6055,0.9534)","(0.6896,0.9103)"
17,"(0.5212,0.2014)","(0.5588,0.1810)","(0.4985,0.1868)","(0.6482,0.1841)","(0.0000,0.0000)","(0.7396,0.2931)","(0.4824,0.2772)","(0.7538,0.4308)","(0.2160,0.3218)","(0.6229,0.3191)","(0.1949,0.2912)","(0.7189,0.5491)","(0.5906,0.5411)","(0.6172,0.7456)","(0.6614,0.7431)","(0.6027,0.9498)","(0.7215,0.9081)"
18,"(0.5201,0.1984)","(0.5563,0.1804)","(0.5004,0.1826)","(0.6480,0.1823)","(0.0000,0.0000)","(0.7325,0.2849)","(0.5253,0.2745)","(0.7168,0.4194)","(0.3994,0.3758)","(0.6104,0.3086)","(0.2608,0.3181)","(0.6920,0.5366)","(0.5852,0.5210)","(0.5984,0.7305)","(0.6363,0.6969)","(0.5838,0.9315)","(0.7592,0.8459)"
19,"(0.5132,0.1941)","(0.5491,0.1745)","(0.4946,0.1779)","(0.6430,0.1753)","(0.0000,0.0000)","(0.7277,0.2864)","(0.5686,0.2802)","(0.6813,0.4347)","(0.4868,0.3884)","(0.5856,0.3225)","(0.3454,0.3375)","(0.6814,0.5453)","(0.5914,0.5342)","(0.5805,0.7466)","(0.6250,0.7228)","(0.6023,0.9537)","(0.7453,0.8806)"
20,"(0.5047,0.1916)","(0.5497,0.1728)","(0.4840,0.1750)","(0.6465,0.1791)","(0.0000,0.0000)","(0.7086,0.2880)","(0.5859,0.2827)","(0.6553,0.4339)","(0.5683,0.4029)","(0.5629,0.3256)","(0.4319,0.3548)","(0.6685,0.5406)","(0.6016,0.5278)","(0.5588,0.7398)","(0.6412,0.7103)","(0.5999,0.9337)","(0.7626,0.8436)"
21,"(0.4999,0.1925)","(0.5406,0.1740)","(0.4822,0.1746)","(0.6332,0.1764)","(0.0000,0.0000)","(0.6990,0.2852)","(0.6016,0.2763)","(0.6328,0.4326)","(0.5806,0.4006)","(0.5435,0.3261)","(0.4581,0.3551)","(0.6645,0.5467)","(0.6119,0.5321)","(0.5491,0.7422)","(0.6427,0.7104)","(0.5948,0.9300)","(0.7585,0.8351)"
22,"(0.5007,0.1929)","(0.5392,0.1749)","(0.4835,0.1746)","(0.6289,0.1760)","(0.0000,0.0000)","(0.6938,0.2853)","(0.6027,0.2682)","(0.6083,0.4256)","(0.5651,0.3862)","(0.5062,0.3376)","(0.4522,0.3434)","(0.6578,0.5426)","(0.6115,0.5225)","(0.5580,0.7485)","(0.6215,0.7029)","(0.5851,0.9478)","(0.7479,0.8325)"
