frame,nose,l_ey,r_ey,l_ea,r_ea,l_s,r_s,l_el,r_el,l_w,r_w,l_h,r_h,l_k,r_k,l_a,r_a
10,"(0.2993,0.3021)","(0.3268,0.2926)","(0.2772,0.2877)","(0.0000,0.0000)","(0.2242,0.2960)","(0.3950,0.3703)","(0.1606,0.3780)","(0.5446,0.4069)","(0.1338,0.4676)","(0.5938,0.3233)","(0.2028,0.3901)","(0.3998,0.5705)","(0.2175,0.5746)","(0.5033,0.6965)","(0.1350,0.7016)","(0.5818,0.8469)","(0.0869,0.8394)"
11,"(0.3170,0.3077)","(0.3441,0.2988)","(0.2939,0.2932)","(0.3685,0.3127)","(0.2463,0.3020)","(0.4126,0.3716)","(0.1753,0.3826)","(0.5762,0.4043)","(0.1516,0.4739)","(0.6175,0.3293)","(0.2174,0.3964)","(0.4204,0.5701)","(0.2303,0.5753)","(0.5219,0.7056)","(0.1454,0.7071)","(0.6060,0.8497)","(0.0797,0.8454)"
12,"(0.3459,0.3128)","(0.3690,0.3020)","(0.3201,0.3001)","(0.0000,0.0000)","(0.2641,0.3107)","(0.4335,0.3769)","(0.1980,0.3927)","(0.5825,0.4134)","(0.1774,0.4852)","(0.6584,0.3419)","(0.2311,0.4080)","(0.4366,0.5797)","(0.2522,0.5862)","(0.5393,0.7000)","(0.1679,0.7068)","(0.6049,0.8495)","(0.0854,0.8446)"
13,"(0.3767,0.3171)","(0.3976,0.3063)","(0.3516,0.3042)","(0.0000,0.0000)","(0.2939,0.3143)","(0.4561,0.3816)","(0.2182,0.3998)","(0.6173,0.4142)","(0.2043,0.4947)","(0.6909,0.3389)","(0.2526,0.4226)","(0.4585,0.5853)","(0.2737,0.5927)","(0.5642,0.7004)","(0.1904,0.7122)","(0.6118,0.8519)","(0.0954,0.8435)"
14,"(0.4114,0.3175)","(0.4323,0.3072)","(0.3865,0.3042)","(0.0000,0.0000)","(0.3274,0.3139)","(0.4789,0.3848)","(0.2524,0.4018)","(0.6264,0.4233)","(0.2296,0.5044)","(0.6935,0.3421)","(0.2800,0.4352)","(0.4817,0.5823)","(0.3041,0.5900)","(0.5891,0.7009)","(0.2302,0.7177)","(0.6154,0.8526)","(0.1053,0.8447)"
15,"(0.4445,0.3176)","(0.4657,0.3076)","(0.4223,0.3042)","(0.0000,0.0000)","(0.3664,0.3138)","(0.4958,0.3891)","(0.2849,0.3987)","(0.6214,0.4477)","(0.2478,0.4936)","(0.6476,0.3856)","(0.3261,0.4196)","(0.4905,0.5869)","(0.3214,0.5934)","(0.6034,0.7002)","(0.2481,0.7234)","(0.6143,0.8550)","(0.0940,0.8424)"
16,"(0.4783,0.3184)","(0.4971,0.3078)","(0.4520,0.3066)","(0.0000,0.0000)","(0.3955,0.3177)","(0.5160,0.3894)","(0.3306,0.3919)","(0.5995,0.4611)","(0.3152,0.4614)","(0.6182,0.4012)","(0.4634,0.3677)","(0.4984,0.5841)","(0.3388,0.5882)","(0.6131,0.6968)","(0.2501,0.7224)","(0.6193,0.8543)","(0.0785,0.8335)"
17,"(0.5059,0.3249)","(0.5245,0.3151)","(0.4815,0.3128)","(0.0000,0.0000)","(0.4259,0.3213)","(0.5223,0.3948)","(0.3770,0.3815)","(0.5940,0.4633)","(0.5036,0.4080)","(0.6187,0.3981)","(0.5951,0.3338)","(0.4895,0.5861)","(0.3414,0.5848)","(0.6228,0.6937)","(0.2510,0.7244)","(0.6192,0.8530)","(0.0658,0.8264)"
18,"(0.5295,0.3267)","(0.5468,0.3169)","(0.5046,0.3147)","(0.0000,0.0000)","(0.4415,0.3216)","(0.4954,0.3994)","(0.4060,0.3706)","(0.5593,0.4628)","(0.6145,0.3466)","(0.6210,0.4030)","(0.7774,0.2927)","(0.4732,0.5843)","(0.3494,0.5817)","(0.6289,0.6863)","(0.2456,0.7300)","(0.6424,0.8502)","(0.0578,0.8273)"
19,"(0.5462,0.3288)","(0.5641,0.3200)","(0.5213,0.3170)","(0.0000,0.0000)","(0.4547,0.3237)","(0.5056,0.4039)","(0.4158,0.3719)","(0.5798,0.4564)","(0.6301,0.3282)","(0.6395,0.3955)","(0.7649,0.2691)","(0.4690,0.5850)","(0.3450,0.5817)","(0.6233,0.6865)","(0.2484,0.7334)","(0.6441,0.8511)","(0.0617,0.8266)"
20,"(0.5623,0.3287)","(0.5786,0.3206)","(0.5429,0.3168)","(0.0000,0.0000)","(0.4820,0.3223)","(0.5167,0.4041)","(0.4262,0.3700)","(0.5991,0.4604)","(0.6189,0.3337)","(0.6628,0.3878)","(0.7506,0.2760)","(0.4644,0.5844)","(0.3402,0.5801)","(0.6249,0.6857)","(0.2414,0.7350)","(0.6388,0.8529)","(0.0589,0.8248)"
21,"(0.5693,0.3275)","(0.5825,0.3190)","(0.5455,0.3153)","(0.0000,0.0000)","(0.4881,0.3221)","(0.5277,0.4074)","(0.4370,0.3706)","(0.6302,0.4702)","(0.5933,0.3460)","(0.6658,0.3871)","(0.7455,0.3164)","(0.4639,0.5897)","(0.3457,0.5799)","(0.6346,0.6939)","(0.2185,0.7301)","(0.6484,0.8433)","(0.0733,0.8331)"
22,"(0.5626,0.3279)","(0.5776,0.3205)","(0.5428,0.3166)","(0.0000,0.0000)","(0.4849,0.3290)","(0.5521,0.4130)","(0.4110,0.3874)","(0.6597,0.4653)","(0.5400,0.3727)","(0.6660,0.3931)","(0.6252,0.3165)","(0.4814,0.5921)","(0.3339,0.5860)","(0.6272,0.6963)","(0.2391,0.7306)","(0.6190,0.8570)","(0.0601,0.8200)"
23,"(0.5669,0.3228)","(0.5827,0.3145)","(0.5472,0.3101)","(0.0000,0.0000)","(0.4834,0.3216)","(0.5616,0.4080)","(0.3683,0.3911)","(0.6570,0.4724)","(0.3261,0.4287)","(0.6574,0.3934)","(0.4625,0.3644)","(0.4945,0.5927)","(0.3270,0.5898)","(0.6279,0.6986)","(0.2296,0.7279)","(0.6176,0.8568)","(0.0602,0.8243)"
24,"(0.5524,0.3233)","(0.5679,0.3141)","(0.5286,0.3106)","(0.0000,0.0000)","(0.4579,0.3230)","(0.5584,0.4093)","(0.3465,0.3946)","(0.6556,0.4742)","(0.2729,0.4363)","(0.6604,0.3987)","(0.4112,0.3625)","(0.4936,0.5944)","(0.3167,0.5921)","(0.6276,0.7017)","(0.2158,0.7260)","(0.6150,0.8545)","(0.0617,0.8258)"
25,"(0.5215,0.3224)","(0.5398,0.3131)","(0.4985,0.3093)","(0.0000,0.0000)","(0.4325,0.3201)","(0.5505,0.4064)","(0.3265,0.3910)","(0.6584,0.4709)","(0.2260,0.4397)","(0.6612,0.3880)","(0.3468,0.3660)","(0.4932,0.5956)","(0.3111,0.5928)","(0.6225,0.7028)","(0.1978,0.7240)","(0.6136,0.8574)","(0.0544,0.8399)"
26,"(0.4860,0.3204)","(0.5049,0.3108)","(0.4604,0.3079)","(0.0000,0.0000)","(0.3942,0.3207)","(0.5301,0.4052)","(0.2972,0.3918)","(0.6458,0.4670)","(0.1934,0.4391)","(0.6505,0.3770)","(0.2989,0.3680)","(0.4841,0.5967)","(0.2984,0.5943)","(0.6109,0.7011)","(0.1877,0.7200)","(0.6152,0.8560)","(0.0559,0.8416)"
27,"(0.4537,0.3160)","(0.4744,0.3063)","(0.4295,0.3029)","(0.0000,0.0000)","(0.3657,0.3146)","(0.5027,0.4012)","(0.2675,0.3883)","(0.6184,0.4651)","(0.1627,0.4407)","(0.6214,0.3826)","(0.2656,0.3713)","(0.4628,0.5940)","(0.2768,0.5921)","(0.5936,0.7015)","(0.1685,0.7172)","(0.6161,0.8566)","(0.0562,0.8459)"
28,"(0.4171,0.3090)","(0.4368,0.2992)","(0.3939,0.2957)","(0.0000,0.0000)","(0.3307,0.3067)","(0.4669,0.3954)","(0.2327,0.3833)","(0.5922,0.4655)","(0.1415,0.4447)","(0.6025,0.3753)","(0.2234,0.3805)","(0.4400,0.5891)","(0.2566,0.5877)","(0.5681,0.7019)","(0.1527,0.7162)","(0.6140,0.8572)","(0.0629,0.8449)"
29,"(0.3785,0.3030)","(0.3989,0.2932)","(0.3527,0.2899)","(0.0000,0.0000)","(0.2962,0.3010)","(0.4373,0.3857)","(0.2155,0.3775)","(0.5554,0.4638)","(0.1299,0.4470)","(0.5629,0.3901)","(0.2164,0.3707)","(0.4176,0.5777)","(0.2374,0.5785)","(0.5372,0.7034)","(0.1409,0.7107)","(0.6174,0.8535)","(0.0617,0.8495)"
30,"(0.3418,0.2955)","(0.3664,0.2866)","(0.3213,0.2818)","(0.0000,0.0000)","(0.2671,0.2929)","(0.4099,0.3841)","(0.1779,0.3743)","(0.5095,0.4729)","(0.1164,0.4565)","(0.5382,0.4220)","(0.1912,0.3842)","(0.3999,0.5773)","(0.2154,0.5780)","(0.5162,0.7026)","(0.1363,0.7072)","(0.6144,0.8508)","(0.0597,0.8458)"
31,"(0.3111,0.2916)","(0.3354,0.2824)","(0.2904,0.2775)","(0.0000,0.0000)","(0.2365,0.2877)","(0.3721,0.3786)","(0.1523,0.3682)","(0.4688,0.4777)","(0.1091,0.4615)","(0.5112,0.4232)","(0.1811,0.3885)","(0.3785,0.5705)","(0.2010,0.5713)","(0.4963,0.6970)","(0.1289,0.7046)","(0.5916,0.8487)","(0.0653,0.8441)"
32,"(0.3118,0.2913)","(0.3362,0.2823)","(0.2910,0.2771)","(0.0000,0.0000)","(0.2360,0.2875)","(0.3719,0.3789)","(0.1512,0.3681)","(0.4691,0.4782)","(0.1095,0.4615)","(0.5105,0.4232)","(0.1833,0.3879)","(0.3790,0.5705)","(0.2009,0.5712)","(0.4962,0.6969)","(0.1288,0.7047)","(0.5924,0.8491)","(0.0650,0.8441)"
